Question,Answer
How do I start investing?,"Register on our website, complete KYC verification, then make a deposit starting from $30 to begin investing with the Starter Plan."
What is the minimum investment?,"Our minimum investment is $30 with the Starter Plan. You can upgrade to higher plans anytime."
How do I make a deposit?,"Transfer funds to our bank account (Habib Bank: PK23HABB0002817901089803 or Allied Bank: PK46ABPA0010034733450029), then upload your payment receipt through your dashboard."
How long does deposit verification take?,"Deposits are credited within 24 hours after we verify your payment receipt."
How do I withdraw my funds?,"Complete KYC verification first, then request withdrawal from your dashboard. Minimum withdrawal is $10."
How long do withdrawals take?,"Withdrawals are processed within 24-48 hours after approval."
What is the referral bonus?,"You earn $30 when someone signs up with your referral code and invests. They get $20 welcome bonus!"
How do I find my referral code?,"Your unique referral code is available in your dashboard under the Referral section."
What is KYC verification?,"KYC (Know Your Customer) is identity verification required for withdrawals. Submit your valid ID and proof of address through your dashboard."
Is my investment safe?,"Yes! We use secure encrypted systems and require KYC verification to protect all users."
What investment plans do you offer?,"We offer 10 plans: Starter ($30+), Advance ($400+), Intro ($1000+), Region ($3000+), Pro ($5000+), Premium ($10000+), Executive ($25000+), Elite ($50000+), Platinum ($100000+), and Diamond ($250000+)."
How do I upgrade my plan?,"Simply make an additional deposit that meets the minimum for your desired plan, and your account will be upgraded automatically."
How do I contact support?,"You can reach our support team through this live chat or by submitting a ticket in your dashboard."
What payment methods do you accept?,"We accept bank transfers to Habib Bank Limited or Allied Bank Limited. Please use the account details provided and upload your receipt."
Can I have multiple investments?,"Yes! You can have multiple active investments across different plans."
